0: 역곡상상시장 | Type: 상설장 | Addr: 경기도 부천시 원미구 부일로749번길 31 | Lat/Lon: 37.48757743,126.8118954 | Cycle: 매일
17: 고성시장 | Type: 상설장 | Addr: 경상남도 고성군 고성읍 중앙로25번길57 | Lat/Lon: 34.97730013,128.3230514 | Cycle: 1일+6일
18: 고성공룡시장 | Type: 상설장 | Addr: 경상남도 고성군 고성읍 성내로112번길 75-8 | Lat/Lon: 34.97266192,128.3233371 | Cycle: 매일
19: 영오시장 | Type: 상설장 | Addr: 경상남도 고성군 영오면 영회로 527-9 | Lat/Lon: 35.10895031,128.2376737 | Cycle: 2일+7일
20: 배둔시장 | Type: 상설장+4일장 | Addr: 경상남도 고성군 회화면 배둔로31번길 5 | Lat/Lon: 35.05736208,128.3691501 | Cycle: 4일+9일
21: 김해전통시장(김해동상시장) | Type: 상설장 | Addr: 경상남도 김해시 호계로 517번길 5-13 | Lat/Lon: 35.23624089,128.883862 | Cycle: 매일
22: 삼방시장 | Type: 상설장 | Addr: 경상남도 김해시 삼안로 255 | Lat/Lon: 35.25078662,128.9096859 | Cycle: 매일
23: 경주중앙시장 | Type: 상설장 | Addr: 경상북도 경주시 금성로 295 | Lat/Lon: 35.84395286,129.2067435 | Cycle: 2일+7일
24: 외동전통시장 | Type: 상설장 | Addr: 경상남도 김해시 내외중앙로 33 | Lat/Lon: 35.2329309,128.8660031 | Cycle: 매일
25: 진례전통시장 | Type: 5일장 | Addr: 경상남도 김해시 진례면 송현로 6 | Lat/Lon: 35.24867545,128.7489254 | Cycle: 5일+10일
26: 진영전통시장 | Type: 상설장+4일장 | Addr: 경상남도 김해시 진영읍 진영산복로115번길 9 | Lat/Lon: 35.30231684,128.7306322 | Cycle: 4일+9일
27: 주촌축산물시장 | Type: 상설장 | Addr: 경상남도 김해시 주촌면 서부로1403번길 23-66 | Lat/Lon: 35.22608524,128.8124154 | Cycle: 매일
28: 남면공설시장 | Type: 4일장 | Addr: 경상남도 남해군 남면 남서대로 785-4 | Lat/Lon: 34.770945,127.8853533 | Cycle: 4일+9일
29: 남해전통시장 | Type: 상설장 | Addr: 경상남도 남해군 남해읍 화전로110 | Lat/Lon: 34.84014878,127.89449 | Cycle: 2일+7일
30: 이동공설시장 | Type: 상설장+5일장 | Addr: 경상남도 남해군 이동면 무림로 63번길 9 | Lat/Lon: 34.80113755,127.9538197 | Cycle: 5일+10일
31: 내일전통시장 | Type: 상설장 | Addr: 경상남도 밀양시 상설시장3길 18-6 | Lat/Lon: 35.49332954,128.7533093 | Cycle: 2일+7일
32: 밀양아리랑시장 | Type: 상설장 | Addr: 경상남도 밀양시 상설시장1길11 | Lat/Lon: 35.49306115,128.7525542 | Cycle: 2일+7일
33: 무안시장(무안임시시장) | Type: 상설장 | Addr: 경상남도 밀양시 무안면 사명로 510 | Lat/Lon: 35.47019254,128.6520424 | Cycle: 1일+6일
34: 송백시장 | Type: 5일장 | Addr: 경상남도 밀양시 산내면 산내로 346-1 | Lat/Lon: 35.58629962,128.8817037 | Cycle: 5일+10일
35: 송지시장 | Type: 4일장 | Addr: 경상남도 밀양시 삼랑진읍 외송3길 8-1 | Lat/Lon: 35.39686406,128.8371964 | Cycle: 4일+9일
36: 수산시장 | Type: 상설장+3일장 | Addr: 경상남도 밀양시 하남읍 시서상가길 5 | Lat/Lon: 35.37422786,128.7087852 | Cycle: 3일+8일
37: 곤양종합시장 | Type: 5일장 | Addr: 경상남도 사천시 곤양면 남산로 65 | Lat/Lon: 35.05653208,127.9633461 | Cycle: 5일+10일
38: 삼천포종합시장 | Type: 상설장+4일장 | Addr: 경상남도 사천시 동금2길 15 | Lat/Lon: 34.93234179,128.0785407 | Cycle: 4일+9일
39: 삼천포용궁수산시장 | Type: 상설장 | Addr: 경상남도 사천시 어시장길 64 | Lat/Lon: 34.92743545,128.0717569 | Cycle: 매일
40: 삼천포전통수산시장 | Type: 상설장 | Addr: 경상남도 사천시 어시장길 46 | Lat/Lon: 34.92717247,128.069893 | Cycle: 매일
41: 서포시장 | Type: 상설장+4일장 | Addr: 경상남도 사천시 서포면 자구로 473 | Lat/Lon: 35.00686028,127.9779028 | Cycle: 4일+9일
42: 삼천포중앙시장 | Type: 상설장+4일장 | Addr: 경상남도 사천시 중앙시장2길 37 | Lat/Lon: 34.92892254,128.0767148 | Cycle: 4일+9일
43: 완사시장 | Type: 상설장 | Addr: 경상남도 사천시 곤명면 완사2길 12 | Lat/Lon: 35.13122005,127.9763483 | Cycle: 1일+6일
44: 사천읍시장 | Type: 상설장 | Addr: 경상남도 사천시 사천읍 시장1길 16 | Lat/Lon: 35.08405876,128.08901 | Cycle: 매일
45: 단성시장 | Type: 5일장 | Addr: 경상남도 산청군 단성면 목화로 968번길 17 | Lat/Lon: 35.29792788,127.9580631 | Cycle: 5일+10일
46: 산청시장 | Type: 상설장 | Addr: 경상남도 산청군 산청읍 중앙로 16-1 | Lat/Lon: 35.41530225,127.8763044 | Cycle: 1일+6일
47: 생초시장 | Type: 3일장 | Addr: 경상남도 산청군 생초면 생초로 35-30 | Lat/Lon: 35.49280603,127.8351909 | Cycle: 3일+8일
48: 덕산시장 | Type: 4일장 | Addr: 경상남도 산청군 시천면 남명로 188-5 | Lat/Lon: 35.2770275,127.8377507 | Cycle: 4일+9일
49: 단계시장 | Type: 4일장 | Addr: 경상남도 산청군 신등면 신차로 500-3 | Lat/Lon: 35.37712433,128.0111488 | Cycle: 4일+9일
50: 덕계종합상설시장 | Type: 상설장 | Addr: 경상남도 양산시 덕계2길 7 | Lat/Lon: 35.36975442,129.1471525 | Cycle: 매일
51: 중앙시장 | Type: 상설장 | Addr: 강원특별자치도 강릉시 금성로21 | Lat/Lon: 37.75401611,128.8986236 | Cycle: 매일
52: 강릉성남시장 | Type: 상설장 | Addr: 강원특별자치도 강릉시 중앙시장1길 16 | Lat/Lon: 37.75344795,128.8992217 | Cycle: 매일
53: 강릉동부시장 | Type: 상설장 | Addr: 강원특별자치도 강릉시 옥천로 48 | Lat/Lon: 37.7600498,128.9006624 | Cycle: 매일
54: 강릉서부시장 | Type: 상설장 | Addr: 강원특별자치도 강릉시 임영로 155번길 6 | Lat/Lon: 37.75505954,128.8907988 | Cycle: 매일
55: 주문진건어물시장 | Type: 상설장 | Addr: 강원특별자치도 강릉시 주문진읍 해안로1748 | Lat/Lon: 37.89114842,128.8287555 | Cycle: 매일
56: 주문진수산시장 | Type: 상설장 | Addr: 강원특별자치도 강릉시 주문진읍 시장2길 4 | Lat/Lon: 37.89097097,128.8280009 | Cycle: 매일
57: 주문진종합시장 | Type: 상설장 | Addr: 강원특별자치도 강릉시 주문진읍 구시장길 11-3 | Lat/Lon: 37.8914385,128.8269078 | Cycle: 매일
58: 주문진좌판풍물시장 | Type: 상설장 | Addr: 강원특별자치도 강릉시 주문진읍 해안로 1758-10 | Lat/Lon: 37.89171625,128.8293151 | Cycle: 매일
59: 간성전통시장 | Type: 상설장 | Addr: 강원특별자치도 고성군 간성읍 간성시장3길 7-2 | Lat/Lon: 38.37994273,128.4694508 | Cycle: 2일+7일
60: 거진전통시장 | Type: 상설장 | Addr: 강원특별자치도 고성군 거진읍 거진시장길 13-3 | Lat/Lon: 38.44748216,128.4543896 | Cycle: 1일+6일
61: 동해남부재래시장 | Type: 상설장 | Addr: 강원특별자치도 동해시 청운1길 29 | Lat/Lon: 37.48760966,129.1035498 | Cycle: 매일
62: 묵호시장 | Type: 상설장 | Addr: 강원특별자치도 동해시 일출로 59-1 | Lat/Lon: 37.55235235,129.1141946 | Cycle: 매일
63: 묵호항 자연산 수산물 판매시장 | Type: 상설장 | Addr: 강원특별자치도 동해시 일출로 74 | Lat/Lon: 37.55205496,129.1162115 | Cycle: 매일
64: 동쪽바다중앙시장 | Type: 상설장 | Addr: 강원특별자치도 동해시 중앙시장길 12 | Lat/Lon: 37.55104769,129.1085683 | Cycle: 매일
65: 중동사랑시장(부천중동시장) | Type: 상설장 | Addr: 경기도 부천시 원미구 부흥로200번길 25 | Lat/Lon: 37.49497098,126.764586 | Cycle: 매일
66: 삼척중앙시장 | Type: 상설장 | Addr: 강원특별자치도 삼척시 진주로 12-21 | Lat/Lon: 37.44210346,129.1646216 | Cycle: 2일+7일
67: 도계전두시장 | Type: 상설장 | Addr: 강원특별자치도 삼척시 도계읍 전두시장길 6-1 | Lat/Lon: 37.22913383,129.0428073 | Cycle: 매일
68: 도계중앙시장 | Type: 상설장 | Addr: 강원특별자치도 삼척시 도계읍 도계로4길 20 | Lat/Lon: 37.23514806,129.0451104 | Cycle: 매일
69: 삼척번개시장 | Type: 상설장 | Addr: 강원특별자치도 삼척시 중앙로 14-27 | Lat/Lon: 37.43090173,129.178574 | Cycle: 매일
70: 속초종합중앙시장 | Type: 상설장 | Addr: 강원특별자치도 속초시 중앙로147번길 16 | Lat/Lon: 38.20452003,128.5901927 | Cycle: 매일
71: 속초관광수산시장(구 속초중앙전통시장) | Type: 상설장 | Addr: 강원특별자치도 속초시 중앙시장로 6길 4 | Lat/Lon: 38.20540516,128.5893558 | Cycle: 매일
72: 양구중앙시장 | Type: 상설장+5일장 | Addr: 강원특별자치도 양구군 중앙길 68 | Lat/Lon: 38.10410757,127.9893261 | Cycle: 5일+10일
73: 양양전통시장 | Type: 상설장+4일장 | Addr: 강원특별자치도 양양군 양양읍 남문5길 9 | Lat/Lon: 38.07506326,128.6232929 | Cycle: 4일+9일
74: 서부아침시장 | Type: 상설장 | Addr: 강원특별자치도 영월군 영월읍 중앙로 30-1 | Lat/Lon: 37.18331647,128.466754 | Cycle: 매일
75: 구룡포시장 | Type: 상설장+3일장 | Addr: 경상북도 포항시 남구 구룡포읍 구룡포길 72-1 | Lat/Lon: 35.99031583,129.5540012 | Cycle: 3일+8일
76: 오천삼광시장 | Type: 상설장 | Addr: 경상북도 포항시 남구 오천읍 정몽주로679번길 3 | Lat/Lon: 35.97830244,129.4123387 | Cycle: 매일
77: 오천시장 | Type: 상설장+5일장 | Addr: 경상북도 포항시 남구 오천읍 해병로 307번길 26-3 | Lat/Lon: 35.96647172,129.4142295 | Cycle: 5일+10일
78: 청림시장 | Type: 상설장 | Addr: 경상북도 포항시 남구 청림서길 29 | Lat/Lon: 35.99657827,129.4103564 | Cycle: 매일
79: 포항운하송림시장 | Type: 상설장 | Addr: 경상북도 포항시 남구 운하로36번길 7 | Lat/Lon: 36.02820448,129.3763138 | Cycle: 매일
80: 연일전통시장 | Type: 상설장+3일장 | Addr: 경상북도 포항시 남구 연일읍 연일로 159번길 46 | Lat/Lon: 35.99635173,129.3486811 | Cycle: 3일+8일
81: 효자시장 | Type: 상설장 | Addr: 경상북도 포항시 남구 효자동길10번길 13 | Lat/Lon: 36.00799585,129.3315835 | Cycle: 매일
82: 대해불빛시장 | Type: 상설장 | Addr: 경상북도 포항시 남구 중앙로67번길 7 | Lat/Lon: 36.01879903,129.3685564 | Cycle: 매일
83: 영남시장 | Type: 상설장 | Addr: 경상북도 포항시 남구 동해면 일월로152 | Lat/Lon: 35.9879517,129.4496824 | Cycle: 매일
84: 포항큰동해시장 | Type: 상설장 | Addr: 경상북도 포항시 남구 중앙로146번길 30 | Lat/Lon: 36.02655548,129.3709848 | Cycle: 매일
85: 남부시장 | Type: 상설장 | Addr: 경상북도 포항시 남구 상공로43 | Lat/Lon: 36.01262132,129.3561505 | Cycle: 매일
86: 상대종합시장 | Type: 상설장 | Addr: 경상북도 포항시 남구 양학천로 76번길13 | Lat/Lon: 36.01993112,129.3611077 | Cycle: 매일
87: 해도5(형산)시장 | Type: 상설장 | Addr: 경상북도 포항시 남구 문예로 70번길23 | Lat/Lon: 36.01270248,129.3664934 | Cycle: 매일
88: 기계시장 | Type: 상설장 | Addr: 경상북도 포항시 북구 기계면 새마을발상지길 7 | Lat/Lon: 36.06996359,129.2045078 | Cycle: 2일+7일
89: 흥해시장 | Type: 상설장 | Addr: 경상북도 포항시 북구 흥해읍 한동로 61-13 | Lat/Lon: 36.11061401,129.3482939 | Cycle: 2일+7일
90: 중앙상가 | Type: 상설장 | Addr: 경상북도 포항시 북구 중앙상가길64 | Lat/Lon: 36.04016574,129.3661568 | Cycle: 매일
91: 죽도어시장 | Type: 상설장 | Addr: 경상북도 포항시 북구 죽도시장길32 | Lat/Lon: 36.03513455,129.3690789 | Cycle: 매일
92: 한라종합시장 | Type: 상설장 | Addr: 경상북도 포항시 북구 대안길 57 | Lat/Lon: 36.04122465,129.3512673 | Cycle: 매일
93: 환호그린빌시장 | Type: 상설장 | Addr: 경상북도 포항시 북구 환호공원길 15 | Lat/Lon: 36.06813183,129.3911427 | Cycle: 매일
94: 그린종합시장 | Type: 상설장 | Addr: 경상북도 포항시 북구 용두산길 39 | Lat/Lon: 36.06728944,129.3809631 | Cycle: 매일
95: 두호1시장 | Type: 상설장 | Addr: 경상북도 포항시 북구 창흥로 11 | Lat/Lon: 36.06172603,129.3693658 | Cycle: 매일
96: 영일대북부시장 | Type: 상설장 | Addr: 경상북도 포항시 북구 대신로26번길 10-1 | Lat/Lon: 36.04629733,129.3691029 | Cycle: 매일
97: 양학시장 | Type: 상설장 | Addr: 경상북도 포항시 북구 양학로 40 | Lat/Lon: 36.02727113,129.3497432 | Cycle: 매일
98: 장량성도시장 | Type: 상설장 | Addr: 경상북도 포항시 북구 용두산길 54 | Lat/Lon: 36.06827244,129.3813701 | Cycle: 매일
99: 죽도시장 | Type: 상설장 | Addr: 경상북도 포항시 북구 죽도시장13길 13 | Lat/Lon: 36.03641447,129.3681411 | Cycle: 매일
100: 예천중앙시장 | Type: 상설장 | Addr: 경상북도 예천군 예천읍 시장로127 | Lat/Lon: 36.6574335,128.4578325 | Cycle: 2일+7일
101: 용궁시장 | Type: 상설장+4일장 | Addr: 경상북도 예천군 용궁면 용궁시장길 9 | Lat/Lon: 36.60702184,128.2753688 | Cycle: 4일+9일
102: 풍양시장 | Type: 3일장 | Addr: 경상북도 예천군 풍양면 낙상2길 37-13 | Lat/Lon: 36.50926978,128.2998047 | Cycle: 3일+8일
103: 척산시장 | Type: 상설장 | Addr: 경상북도 울진군 기성면 척산길 51-25 | Lat/Lon: 36.79693438,129.4512978 | Cycle: 1일+6일
104: 매화시장 | Type: 3일장 | Addr: 경상북도 울진군 매화면 매화2길 36-14 | Lat/Lon: 36.90980624,129.3799227 | Cycle: 3일+8일
105: 흥부시장 | Type: 상설장 | Addr: 경상북도 울진군 북면 장터길 110-6 | Lat/Lon: 37.10360525,129.3753791 | Cycle: 1일+6일
106: 울진바지게시장 | Type: 상설장 | Addr: 경상북도 울진군 울진읍 읍내1길 18 (울진시장) | Lat/Lon: 36.99192061,129.4022797 | Cycle: 2일+7일
107: 죽변시장 | Type: 상설장+3일장 | Addr: 경상북도 울진군 죽변면 죽변중앙로 168-14 | Lat/Lon: 37.05897952,129.4222545 | Cycle: 3일+8일
108: 평해시장 | Type: 상설장 | Addr: 경상북도 울진군 평해읍 평해6길12 | Lat/Lon: 36.72694696,129.4424335 | Cycle: 2일+7일
109: 후포시장 | Type: 상설장+3일장 | Addr: 경상북도 울진군 후포면 울진대게로21 | Lat/Lon: 36.67787465,129.4442245 | Cycle: 3일+8일
110: 금성시장 | Type: 상설장 | Addr: 경상북도 의성군 금성면 탑리길56-1 | Lat/Lon: 36.25617739,128.6814114 | Cycle: 1일+6일
111: 함평천지전통시장 | Type: 상설장 | Addr: 전라남도 함평군 함평읍 시장길 49 | Lat/Lon: 35.06373037,126.5234259 | Cycle: 2일+7일
112: 봉양시장 | Type: 5일장 | Addr: 경상북도 의성군 봉양면 도리원6길 9-1 | Lat/Lon: 36.29925956,128.5815931 | Cycle: 5일+10일
113: 안계공설시장 | Type: 상설장 | Addr: 경상북도 의성군 안계면 안계시장길 14-11 | Lat/Lon: 36.38442056,128.4383426 | Cycle: 1일+6일
114: 의성공설재래시장 | Type: 상설장 | Addr: 경상북도 의성군 의성읍 전통시장 1길 12-8 | Lat/Lon: 36.3451135,128.699851 | Cycle: 2일+7일
115: 의성염매시장 | Type: 상설장 | Addr: 경상북도 의성군 의성읍 염매시장길 5 | Lat/Lon: 36.35022877,128.6956069 | Cycle: 매일
116: 동곡공설시장 | Type: 상설장 | Addr: 경상북도 청도군 금천면 금천로 41-2 | Lat/Lon: 35.69205739,128.8910781 | Cycle: 1일+6일
117: 군산공설시장 | Type: 상설장 | Addr: 전북특별차치도 군산시 신금길 18 | Lat/Lon: 35.98316656,126.7203241 | Cycle: 매일
118: 풍각공설시장 | Type: 상설장 | Addr: 경상북도 청도군 풍각면 송서7길 5 | Lat/Lon: 35.64090247,128.6186232 | Cycle: 1일+6일
119: 부남시장 | Type: 3일장 | Addr: 경상북도 청송군 부남면 대전로142 | Lat/Lon: 36.34650543,129.0644413 | Cycle: 3일+8일
120: 안덕시장 | Type: 상설장+4일장 | Addr: 경상북도 청송군 안덕면 명당2길 | Lat/Lon: , | Cycle: 4일+9일
121: 진보시장 | Type: 상설장+3일장 | Addr: 경상북도 청송군 진보면 진안남2길 9-1 | Lat/Lon: 36.52833051,129.0464125 | Cycle: 3일+8일
122: 청송시장 | Type: 상설장+4일장 | Addr: 경상북도 청송군 청송읍 현충로 106 | Lat/Lon: 36.43514221,129.0521134 | Cycle: 4일+9일
123: 도평시장 | Type: 상설장+5일장 | Addr: 경상북도 청송군 현동면 도평2길 21 | Lat/Lon: 36.290109,129.0170773 | Cycle: 5일+10일
124: 화목시장 | Type: 상설장 | Addr: 경상북도 청송군 현서면 구산북로57-1 | Lat/Lon: 36.27534895,128.89736 | Cycle: 1일+6일
125: 전주중앙상가 | Type: 상설장 | Addr: 전북특별차치도 전주시 완산구 태평3길 70 | Lat/Lon: 35.82522103,127.1424489 | Cycle: 매일
126: 북문시장 | Type: 상설장 | Addr: 경상북도 안동시 북문옥정길 25 | Lat/Lon: 36.56851589,128.7326157 | Cycle: 2일+7일
127: 안동서부시장 | Type: 상설장 | Addr: 경상북도 안동시 대안로 22 | Lat/Lon: 36.56527506,128.7149733 | Cycle: 2일+7일
128: 계산시장 | Type: 상설장 | Addr: 인천광역시 계양구 계산 시장길 10-18 | Lat/Lon: 37.53927741,126.7248447 | Cycle: 매일
129: 구담공설시장 | Type: 4일장 | Addr: 경상북도 안동시 풍천면 섬마길 7-9 | Lat/Lon: 36.54171762,128.4647059 | Cycle: 4일+9일
130: 강구시장 | Type: 상설장+3일장 | Addr: 경상북도 영덕군 강구면 강구시장1길 8-2 | Lat/Lon: 36.35834827,129.3795018 | Cycle: 3일+8일
131: 남정시장 | Type: 상설장 | Addr: 경상북도 영덕군 남정면 진불1길 31-3 | Lat/Lon: 36.28554787,129.3728791 | Cycle: 2일+7일
132: 영해만세시장 | Type: 상설장+5일장 | Addr: 경상북도 영덕군 영해면 예주시장5길 21 | Lat/Lon: 36.54088955,129.4071791 | Cycle: 5일+10일
133: 영양시장 | Type: 상설장+4일장 | Addr: 경상북도 영양군 영양로 영양읍 시장5길 4 | Lat/Lon: , | Cycle: 4일+9일
134: 계양산전통시장 | Type: 상설장 | Addr: 인천광역시 계양구 병방시장로 69 | Lat/Lon: 37.54803218,126.7394444 | Cycle: 매일
135: 영주골목시장 | Type: 상설장 | Addr: 경상북도 영주시 구성로360번길 19 | Lat/Lon: 36.82449267,128.6229875 | Cycle: 매일
136: 작전시장 | Type: 상설장 | Addr: 인천광역시 계양구 봉오대로677번길 20 | Lat/Lon: 37.53248265,126.7243153 | Cycle: 매일
137: 소래포구전통어시장 | Type: 상설장 | Addr: 인천광역시 남동구 장도로 86-17 | Lat/Lon: 37.3974554,126.738637 | Cycle: 매일
138: 영주문화시장 | Type: 상설장 | Addr: 경상북도 영주시 중앙로 83번길 32 | Lat/Lon: 36.8239126,128.6235074 | Cycle: 매일
139: 풍기중앙시장 | Type: 상설장 | Addr: 경상북도 영주시 풍기읍 동성로 73 | Lat/Lon: 36.8706025,128.5281959 | Cycle: 매일
140: 풍기선비골인삼시장 | Type: 상설장 | Addr: 경상북도 영주시 풍기읍 소백로 2156 | Lat/Lon: 36.88850301,128.5406893 | Cycle: 매일
141: 풍기토종인삼시장 | Type: 상설장 | Addr: 경상북도 영주시 풍기읍 인삼로 40 | Lat/Lon: 36.87026011,128.5224189 | Cycle: 매일
142: 십정종합시장(열우물전통시장) | Type: 상설장 | Addr: 인천광역시 부평구 배곶남로 21번길 18 | Lat/Lon: 37.47340163,126.6955036 | Cycle: 매일
143: 정서진중앙시장 | Type: 상설장 | Addr: 인천광역시 서구 원창로239번길 11 | Lat/Lon: 37.51857454,126.675941 | Cycle: 매일
144: 인천축산물시장 | Type: 상설장 | Addr: 인천광역시 서구 가좌로 96번길 35 | Lat/Lon: 37.47899257,126.6884579 | Cycle: 매일
145: 교동시장 | Type: 상설장 | Addr: 전라남도 여수시 교동시장1길 17-6 | Lat/Lon: 34.73896529,127.730219 | Cycle: 매일
146: 금호공설시장 | Type: 상설장+3일장 | Addr: 경상북도 영천시 금호읍 금호로 101 | Lat/Lon: 35.93166906,128.8733589 | Cycle: 3일+8일
147: 신녕공설시장 | Type: 상설장+3일장 | Addr: 경상북도 영천시 신녕면 본관시장길3 | Lat/Lon: 36.04209299,128.7874777 | Cycle: 3일+8일
148: 영천공설시장 | Type: 상설장 | Addr: 경상북도 영천시 시장4길 52 | Lat/Lon: 35.96425248,128.9385821 | Cycle: 2일+7일
149: 예천맛고을시장 | Type: 상설장 | Addr: 경상북도 예천군 예천읍 맛고을길 57 | Lat/Lon: 36.65689278,128.4548923 | Cycle: 매일
150: 예천상설시장 | Type: 상설장 | Addr: 경상북도 예천군 예천읍 상설시장2길 3-1 | Lat/Lon: 36.65598537,128.4561501 | Cycle: 2일+7일
151: 인동시장 | Type: 상설장 | Addr: 경상북도 구미시 인동중앙로5길 16-3 | Lat/Lon: 36.10819473,128.4209289 | Cycle: 2일+7일
152: 군위전통시장 | Type: 상설장+3일장 | Addr: 대구광역시 군위군 군위읍 중앙6길 4 | Lat/Lon: 36.23975138,128.5679239 | Cycle: 3일+8일
153: 의흥시장 | Type: 5일장 | Addr: 대구광역시 군위군 의흥면 읍내5길 7 | Lat/Lon: 36.17425304,128.716305 | Cycle: 5일+10일
154: 중앙시장 | Type: 상설장 | Addr: 경상북도 김천시 중앙시장4길 10 | Lat/Lon: 36.11902271,128.125383 | Cycle: 매일
155: 부곡시장 | Type: 상설장 | Addr: 경상북도 김천시 부곡시장2길 16 | Lat/Lon: 36.12583421,128.1042196 | Cycle: 매일
156: 평화시장 | Type: 상설장+5일장 | Addr: 경상북도 김천시 김천로100 | Lat/Lon: 36.12364342,128.1130862 | Cycle: 5일+10일
157: 암사종합시장 | Type: 상설장 | Addr: 서울특별시 강동구 상암로11길 25 | Lat/Lon: 37.55085327,127.1288173 | Cycle: 매일
158: 가은아자개시장 | Type: 상설장+4일장 | Addr: 경상북도 문경시 가은읍 가은5길 7 | Lat/Lon: 36.64660911,128.0609864 | Cycle: 4일+9일
159: 문경전통시장 | Type: 상설장 | Addr: 경상북도 문경시 문경읍 문희로 41-15 | Lat/Lon: 36.73558209,128.1074832 | Cycle: 2일+7일
160: (유)문경시중앙시장 | Type: 상설장 | Addr: 경상북도 문경시 중앙로 87 | Lat/Lon: 36.59353126,128.1973386 | Cycle: 매일
161: 점촌전통시장 (구 신흥시장) | Type: 상설장+3일장 | Addr: 경상북도 문경시 신흥시장길 19 | Lat/Lon: 36.60138925,128.2041632 | Cycle: 3일+8일
162: 문경중앙시장 | Type: 상설장 | Addr: 경상북도 문경시 신흥시장길 19 | Lat/Lon: 36.60138925,128.2041632 | Cycle: 매일
163: 봉화상설시장 | Type: 상설장 | Addr:  | Lat/Lon: 36.89035721,128.7349285 | Cycle: 2일+7일
164: 봉화내성시장 | Type: 상설장 | Addr: 경상북도 봉화군 봉화읍 내성로5길 13 | Lat/Lon: 36.88898151,128.7394689 | Cycle: 2일+7일
165: 억지춘양시장 | Type: 상설장+4일장 | Addr: 경상북도 봉화군 춘양면 의양로 60 | Lat/Lon: 36.93634466,128.913044 | Cycle: 4일+9일
166: 상주중앙시장 | Type: 상설장 | Addr: 경상북도 상주시 남성로35 | Lat/Lon: 36.41319426,128.1608286 | Cycle: 2일+7일
167: 풍물시장 | Type: 상설장 | Addr: 경상북도 상주시 풍물시장길16 | Lat/Lon: 36.41285383,128.1606228 | Cycle: 2일+7일
168: 남성시장 | Type: 상설장 | Addr: 경상북도 상주시 남성4길 43 | Lat/Lon: 36.41440724,128.1621176 | Cycle: 2일+7일
169: 은척시장 | Type: 상설장+4일장 | Addr: 경상북도 상주시 은척면 봉중1길 16-1 | Lat/Lon: 36.53266616,128.0729497 | Cycle: 4일+9일
170: 함창시장 | Type: 상설장 | Addr: 경상북도 상주시 함창읍 함창시장길4514 | Lat/Lon: , | Cycle: 1일+6일
171: 화령시장 | Type: 상설장+3일장 | Addr: 경상북도 상주시 화서면 화령남6길 7 | Lat/Lon: 36.44479866,127.9506906 | Cycle: 3일+8일
172: 성주시장 | Type: 상설장 | Addr: 경상북도 성주군 성주읍 시장길 43-1 | Lat/Lon: 35.9150289,128.2854812 | Cycle: 2일+7일
